zip_code_tabulation_area,City,State,County,DMA
00501,Holtsville,NY,Suffolk,"NEW YORK, NEW YORK"
00544,Holtsville,NY,Suffolk,"NEW YORK, NEW YORK"
00601,Adjuntas,PR,Adjuntas,
00602,Aguada,PR,Aguada,
00603,Aguadilla,PR,Aguadilla,
00604,Aguadilla,PR,Aguadilla,
00605,Aguadilla,PR,Aguadilla,
00606,Maricao,PR,Maricao,
00610,Anasco,PR,Anasco,
00611,Angeles,PR,Utuado,
00612,Arecibo,PR,Arecibo,
00613,Arecibo,PR,Arecibo,
00614,Arecibo,PR,Arecibo,
00616,Bajadero,PR,Arecibo,
00617,Barceloneta,PR,Barceloneta,
00622,Boqueron,PR,Cabo Rojo,
00623,Cabo Rojo,PR,Cabo Rojo,
00624,Penuelas,PR,Penuelas,
00627,Camuy,PR,Camuy,
00631,Castaner,PR,Lares,
00636,Rosario,PR,San German,
00637,Sabana Grande,PR,Sabana Grande,
00638,Ciales,PR,Ciales,
00641,Utuado,PR,Utuado,
00646,Dorado,PR,Dorado,
00647,Ensenada,PR,Guanica,
00650,Florida,PR,Florida,
00652,Garrochales,PR,Arecibo,
00653,Guanica,PR,Guanica,
00656,Guayanilla,PR,Guayanilla,
00659,Hatillo,PR,Hatillo,
00660,Hormigueros,PR,Hormigueros,
00662,Isabela,PR,Isabela,
00664,Jayuya,PR,Jayuya,
00667,Lajas,PR,Lajas,
00669,Lares,PR,Lares,
00670,Las Marias,PR,Las Marias,
00674,Manati,PR,Manati,
00676,Moca,PR,Moca,
00677,Rincon,PR,Rincon,
00678,Quebradillas,PR,Quebradillas,
00680,Mayaguez,PR,Mayaguez,
00681,Mayaguez,PR,Mayaguez,
00682,Mayaguez,PR,Mayaguez,
00683,San German,PR,San German,
00685,San Sebastian,PR,San Sebastian,
00687,Morovis,PR,Morovis,
00688,Sabana Hoyos,PR,Arecibo,
00690,San Antonio,PR,Aguadilla,
00692,Vega Alta,PR,Vega Alta,
00693,Vega Baja,PR,Vega Baja,
00694,Vega Baja,PR,Vega Baja,
00698,Yauco,PR,Yauco,
00703,Aguas Buenas,PR,Aguas Buenas,
00704,Aguirre,PR,Guayama,
00705,Aibonito,PR,Aibonito,
00707,Maunabo,PR,Maunabo,
00714,Arroyo,PR,Arroyo,
00715,Mercedita,PR,Ponce,
00716,Ponce,PR,Ponce,
00717,Ponce,PR,Ponce,
00718,Naguabo,PR,Naguabo,
00719,Naranjito,PR,Naranjito,
00720,Orocovis,PR,Orocovis,
00721,Palmer,PR,Rio Grande,
00723,Patillas,PR,Patillas,
00725,Caguas,PR,Caguas,
00726,Caguas,PR,Caguas,
00727,Caguas,PR,Caguas,
00728,Ponce,PR,Ponce,
00729,Canovanas,PR,Canovanas,
00730,Ponce,PR,Ponce,
00731,Ponce,PR,Ponce,
00732,Ponce,PR,Ponce,
00733,Ponce,PR,Ponce,
00734,Ponce,PR,Ponce,
00735,Ceiba,PR,Ceiba,
00736,Cayey,PR,Cayey,
00737,Cayey,PR,Cayey,
00738,Fajardo,PR,Fajardo,
00739,Cidra,PR,Cidra,
00740,Puerto Real,PR,Fajardo,
00741,Punta Santiago,PR,Humacao,
00742,Roosevelt Roads,PR,Ceiba,
00744,Rio Blanco,PR,Naguabo,
00745,Rio Grande,PR,Rio Grande,
00751,Salinas,PR,Salinas,
00754,San Lorenzo,PR,San Lorenzo,
00757,Santa Isabel,PR,Santa Isabel,
00765,Vieques,PR,Vieques,
00766,Villalba,PR,Villalba,
00767,Yabucoa,PR,Yabucoa,
00769,Coamo,PR,Coamo,
00771,Las Piedras,PR,Las Piedras,
00772,Loiza,PR,Loiza,
00773,Luquillo,PR,Luquillo,
00775,Culebra,PR,Culebra,
00777,Juncos,PR,Juncos,
00778,Gurabo,PR,Gurabo,
00780,Coto Laurel,PR,Ponce,
00782,Comerio,PR,Comerio,
00783,Corozal,PR,Corozal,
00784,Guayama,PR,Guayama,
00785,Guayama,PR,Guayanilla,
00786,La Plata,PR,Aibonito,
00791,Humacao,PR,Humacao,
00792,Humacao,PR,Humacao,
00794,Barranquitas,PR,Barranquitas,
00795,Juana Diaz,PR,Juana Diaz,
00801,St Thomas,VI,Saint Thomas,
00802,St Thomas,VI,Saint Thomas,
00803,St Thomas,VI,Saint Thomas,
00804,St Thomas,VI,Saint Thomas,
00805,St Thomas,VI,Saint Thomas,
00820,Christiansted,VI,Saint Croix,
00821,Christiansted,VI,Saint Croix,
00822,Christiansted,VI,Saint Croix,
00823,Christiansted,VI,Saint Croix,
00824,Christiansted,VI,Saint Croix,
00830,St John,VI,Saint John,
00831,St John,VI,Saint John,
00840,Frederiksted,VI,Saint Croix,
00841,Frederiksted,VI,Saint Croix,
00850,Kingshill,VI,Saint Croix,
00851,Kingshill,VI,Saint Croix,
00901,San Juan,PR,San Juan,
00902,San Juan,PR,San Juan,
00906,San Juan,PR,San Juan,
00907,San Juan,PR,San Juan,
00908,San Juan,PR,San Juan,
00909,San Juan,PR,San Juan,
00910,San Juan,PR,San Juan,
00911,San Juan,PR,San Juan,
00912,San Juan,PR,San Juan,
00913,San Juan,PR,San Juan,
00914,San Juan,PR,San Juan,
00915,San Juan,PR,San Juan,
00916,San Juan,PR,San Juan,
00917,San Juan,PR,San Juan,
00918,San Juan,PR,San Juan,
00919,San Juan,PR,San Juan,
00920,San Juan,PR,San Juan,
00921,San Juan,PR,San Juan,
00922,San Juan,PR,San Juan,
00923,San Juan,PR,San Juan,
00924,San Juan,PR,San Juan,
00925,San Juan,PR,San Juan,
00926,San Juan,PR,San Juan,
00927,San Juan,PR,San Juan,
00928,San Juan,PR,San Juan,
00929,San Juan,PR,San Juan,
00930,San Juan,PR,San Juan,
00931,San Juan,PR,San Juan,
00933,San Juan,PR,San Juan,
00934,Fort Buchanan,PR,Bayamon,
00935,San Juan,PR,San Juan,
00936,San Juan,PR,San Juan,
00937,San Juan,PR,San Juan,
00938,San Juan,PR,San Juan,
00939,San Juan,PR,San Juan,
00940,San Juan,PR,San Juan,
00949,Toa Baja,PR,Toa Baja,
00950,Toa Baja,PR,Toa Baja,
00951,Toa Baja,PR,Toa Baja,
00952,Sabana Seca,PR,Toa Baja,
00953,Toa Alta,PR,Toa Alta,
00954,Toa Alta,PR,Toa Alta,
00955,San Juan,PR,San Juan,
00956,Bayamon,PR,Bayamon,
00957,Bayamon,PR,Bayamon,
00958,Bayamon,PR,Bayamon,
00959,Bayamon,PR,Bayamon,
00960,Bayamon,PR,Bayamon,
00961,Bayamon,PR,Bayamon,
00962,Catano,PR,Catano,
00963,Catano,PR,Catano,
00965,Guaynabo,PR,Guaynabo,
00966,Guaynabo,PR,Guaynabo,
00968,Guaynabo,PR,San Juan,
00969,Guaynabo,PR,Guaynabo,
00970,Guaynabo,PR,Guaynabo,
00971,Guaynabo,PR,Guaynabo,
00975,San Juan,PR,San Juan,
00976,Trujillo Alto,PR,Trujillo Alto,
00977,Trujillo Alto,PR,Trujillo Alto,
00978,Saint Just Contract,PR,Trujillo Alto,
00979,Carolina,PR,San Juan,
00981,Carolina,PR,San Juan,
00982,Carolina,PR,San Juan,
00983,Carolina,PR,Carolina,
00984,Carolina,PR,Carolina,
00985,Carolina,PR,Carolina,
00986,Carolina,PR,Carolina,
00987,Carolina,PR,Carolina,
00988,Carolina,PR,Carolina,
01001,Agawam,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01002,Amherst,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01003,Amherst,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01004,Amherst,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01005,Barre,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01007,Belchertown,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01008,Blandford,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01009,Bondsville,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01010,Brimfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01011,Chester,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01012,Chesterfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01013,Chicopee,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01014,Chicopee,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01020,Chicopee,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01021,Chicopee,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01022,Chicopee,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01026,Cummington,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01027,Easthampton,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01028,East Longmeadow,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01029,East Otis,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01030,Feeding Hills,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01031,Gilbertville,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01032,Goshen,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01033,Granby,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01034,Granville,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01035,Hadley,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01036,Hampden,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01037,Hardwick,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01038,Hatfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01039,Haydenville,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01040,Holyoke,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01041,Holyoke,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01050,Huntington,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01053,Leeds,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01054,Leverett,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01056,Ludlow,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01057,Monson,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01059,North Amherst,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01060,Northampton,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01061,Northampton,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01062,Florence,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01063,Northampton,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01066,North Hatfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01068,Oakham,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01069,Palmer,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01070,Plainfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01071,Russell,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01072,Shutesbury,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01073,Southampton,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01074,South Barre,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01075,South Hadley,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01077,Southwick,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01079,Thorndike,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01080,Three Rivers,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01081,Wales,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01082,Ware,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01083,Warren,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01084,West Chesterfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01085,Westfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01086,Westfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01088,West Hatfield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01089,West Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01090,West Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01092,West Warren,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01093,Whately,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01094,Wheelwright,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01095,Wilbraham,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01096,Williamsburg,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
